policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,slot_aoi_gt40,slot_aoi_gt60,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,uav_pi_los,uav_pth,uav_mean_aoi,uav_avg_power,uav_service_rate,uav_max_queue
FreshSky-Safe,2,10,540.9713513513514,27.79783783783784,24.743256756756757,47.0,80.0,66.28558558558558,0.071081081081081,0.024527027027027,0.0952927927927927,0.037027027027027,0.7792485011271687,36.0,156.0,0.0952252252252252,1057,11100,0.30802479846498,0.3951493328242854,23.999080823852573,0.4064864864864865,True,True,0.2210551088;0.5230742899;0.4621770162;0.8877431859;0.3493760462;0.4491418585;0.5565464418;0.34857734;0.2223217792;0.6900300697;0.2104662511;0.2177243916,2.045012567;0.9021077578;1.019211399;0.4291816563;1.325898395;1.047619095;0.8463561798;1.328717478;2.03354937;0.6616731043;2.146920017;2.075867389,19.70486486;11.70513514;11.86513514;5.185405405;15.48621622;10.85;10.13486486;14.54756757;20.15027027;7.651351351;22.24405405;27.79783784,0.3935267425;0.2642931918;0.2892356673;0.1094993199;0.3404333716;0.3292921641;0.2399534142;0.3623448475;0.3946184994;0.1863414526;0.3951493328;0.3916095777,0.04756756757;0.107027027;0.1075675676;0.2075675676;0.07459459459;0.1135135135;0.1283783784;0.07891891892;0.04432432432;0.16;0.03702702703;0.03702702703,23.98155826;9.761124977;13.37634198;0.5750899378;23.90929404;18.95238289;11.17611011;23.92100401;23.98978262;4.448442774;23.99908082;23.99414089
FreshSky-Safe,2,11,453.8662162162162,27.44540540540541,23.756689189189185,41.0,69.0,57.7445945945946,0.0504504504504504,0.0167792792792792,0.1107882882882883,0.0335135135135135,0.8223949791700572,31.0,131.0,0.0405405405405405,450,11100,0.2565012631505803,0.3934963951397459,23.995356387257225,0.4064864864864865,True,True,0.95;0.2935060875;0.6227889451;0.4312530983;0.6153269509;0.4183303984;0.9434799305;0.4987828682;0.6260188518;0.4351735249;0.2492611008;0.2092716103,0.3358641596;1.559243329;0.7487311135;1.088976442;0.7590395275;1.120756955;0.3508668233;0.9460759936;0.7443154627;1.079661914;1.819920828;2.159149808,5.078108108;16.19297297;8.30972973;11.47378378;8.971081081;13.67216216;5.13;11.79567568;10.04621622;12.02432432;20.73864865;27.44540541,0.07979043144;0.3750612331;0.1970984066;0.3143315785;0.1948885273;0.3104799671;0.08648393051;0.2590202653;0.1790380437;0.3031807376;0.3934963951;0.3851456414,0.2013513514;0.06243243243;0.152972973;0.09621621622;0.1302702703;0.08135135135;0.1986486486;0.102972973;0.1235135135;0.09837837838;0.04783783784;0.03351351351,0.3358641596;23.99535639;7.620815611;19.46929327;7.25310677;20.9849795;0.3508668233;14.19797583;8.218094807;21.34918126;23.99524965;23.98817925
FreshSky-Safe,2,12,468.0516216216216,22.9727027027027,20.32274324324324,38.0,62.0,53.50765765765766,0.0434909909909909,0.0108333333333333,0.1034459459459459,0.0448648648648648,0.8209695120100309,33.0,112.0,0.0323423423423423,359,11100,0.2767435735460913,0.3892131909314958,23.99343390392374,0.4064864864864865,True,True,0.2277146089;0.9318683167;0.4490225566;0.364868936;0.3264467419;0.2532754659;0.5108922966;0.7249468559;0.885090931;0.3371942215;0.4510893652;0.3770521179,1.986329388;0.369039043;1.047885528;1.273544601;1.412123145;1.792296255;0.9237509324;0.6195927545;0.4325165816;1.370290719;1.043286736;1.235229773,18.15459459;4.953513514;12.01945946;13.70513514;14.59459459;22.9727027;10.43945946;6.71;5.85;16.34432432;11.82324324;12.7127027,0.3892131909;0.08497872017;0.3137992339;0.346266451;0.358373955;0.3855858969;0.2514100511;0.1525537836;0.1078953527;0.3473872146;0.26730698;0.3161520526,0.04594594595;0.1981081081;0.1010810811;0.08351351351;0.07162162162;0.04486486486;0.1127027027;0.1589189189;0.18;0.06567567568;0.09432432432;0.08459459459,23.9934339;0.369039043;23.95484878;20.80368546;23.89717654;23.99140411;11.65503357;2.376334791;0.8552321429;23.64715241;13.14188882;22.55120386
FreshSky-Safe,2,13,323.2181081081081,22.37108108108108,17.76683783783783,30.0,51.0,43.60765765765765,0.021554054054054,0.0054954954954954,0.1453828828828828,0.0416216216216216,0.8890273981663435,23.0,117.0,0.0198198198198198,220,11100,0.1824704929751704,0.3846203960093536,23.983844290900628,0.4064864864864865,True,True,0.931036637;0.7159624459;0.6775674106;0.3509019354;0.95;0.7562371291;0.2357345475;0.5713184825;0.95;0.8385292043;0.9458583108;0.3749843981,0.3702883284;0.6302691506;0.6771299559;1.320546841;0.2764601871;0.5830294735;1.920506701;0.8232731646;0.2265612916;0.488449848;0.3469497415;1.241568686,5.882432432;7.719459459;8.35972973;13.99972973;5.227027027;6.564594595;22.37108108;9.320810811;4.611891892;6.42;5.306216216;13.04378378,0.09207169248;0.1710243857;0.1661713513;0.3372748013;0.06866673296;0.1504846344;0.384620396;0.244979393;0.0566403229;0.1235646102;0.07435976892;0.3197878264,0.1827027027;0.1545945946;0.1394594595;0.07297297297;0.2021621622;0.1662162162;0.04162162162;0.1302702703;0.2097297297;0.18;0.1802702703;0.08459459459,0.3702883284;3.163229808;4.156949338;23.94515469;0.2764601871;2.379383155;23.98384429;12.69819494;0.2265612916;1.107598784;0.3469497415;20.74353328
FreshSky-Safe,2,14,464.6351351351352,24.564324324324325,21.085054054054048,39.0,66.0,55.58873873873874,0.045518018018018,0.0135585585585585,0.1032882882882883,0.0378378378378378,0.8437926181271378,33.0,154.0,0.036036036036036,400,11100,0.2737297912040951,0.3951303369000704,23.99261652965241,0.4064864864864865,True,True,0.3969158517;0.64914127;0.685168137;0.2123384503;0.8391928019;0.2547057577;0.6450583303;0.3536782427;0.3495021855;0.2638904463;0.8142278578;0.4332858251,1.177446822;0.7134614509;0.6676722331;2.128067317;0.4876767217;1.782678959;0.7188179662;1.310923092;1.325454306;1.723560971;0.5165166625;1.084128614,11.65891892;8.061351351;7.906216216;24.56432432;6.138648649;17.52081081;9.52027027;15.98972973;14.58648649;18.23837838;6.058648649;11.79027027,0.3255481347;0.1943700385;0.1806324068;0.3951303369;0.1208647443;0.3835168788;0.2032117818;0.3397770933;0.3417522725;0.3843075137;0.1241035981;0.2915426949,0.09378378378;0.1378378378;0.1378378378;0.03783783784;0.1754054054;0.05513513514;0.1283783784;0.07216216216;0.07567567568;0.05702702703;0.172972973;0.09540540541,18.68595845;8.257689331;6.021116895;23.99261653;1.715150826;23.98752715;7.408085086;20.54784677;23.96543327;23.94765844;1.448649962;16.87147258
FreshSky-Safe,2,15,427.97135135135136,30.75189189189189,25.12732432432432,39.0,76.0,60.25495495495496,0.0449774774774774,0.0166666666666666,0.1315315315315315,0.0294594594594594,0.8317992693075007,26.0,194.0,0.068018018018018,755,11100,0.2325246725040384,0.3949105891082498,23.99851593032565,0.4064864864864865,True,True,0.95;0.6682774533;0.3936552323;0.8783623152;0.2542081145;0.6112416568;0.1961261937;0.2603661895;0.4858854259;0.9440218225;0.777121657;0.6438927182,0.2609434761;0.6888292002;1.186565108;0.4408835581;1.786011998;0.7647485898;2.305041448;1.74572184;0.9708198352;0.349980936;0.5589976316;0.7203540735,4.220540541;6.578378378;12.06459459;5.89972973;20.52540541;7.642162162;30.75189189;17.85081081;9.792432432;4.876486486;7.131621622;9.205945946,0.06354326268;0.1945477065;0.3328796167;0.1072419466;0.389543698;0.2157831156;0.3899880936;0.3949105891;0.2833744384;0.08465755075;0.143224258;0.1906017941,0.2148648649;0.1721621622;0.09675675676;0.1832432432;0.05378378378;0.1554054054;0.02945945946;0.05162162162;0.122972973;0.2040540541;0.1586486486;0.1354054054,0.2609434761;3.177121202;19.73864351;1.013253371;23.99851593;9.883463335;23.99489082;23.9981173;11.4163967;0.349980936;2.225966842;4.725665177
FreshSky-Safe,2,16,495.22135135135136,28.67108108108108,24.94178378378378,44.0,77.0,63.13963963963964,0.0617342342342342,0.0222297297297297,0.1197522522522522,0.03,0.7713027572055126,30.0,126.0,0.1088288288288288,1208,11100,0.2687347482464716,0.4009764033758843,23.993529703353243,0.4064864864864865,True,True,0.3932789834;0.7735119064;0.901603995;0.8416273572;0.2260479039;0.7045979448;0.6624829137;0.1982197585;0.7522839954;0.3841282698;0.2247729528;0.2144342016,1.187626136;0.5631378354;0.4113518347;0.4848363331;2.00065631;0.6439160289;0.6962092138;2.280313362;0.5876051337;1.214015836;2.011774821;2.107404393,13.95486486;6.898648649;5.104054054;6.055135135;19.12081081;6.141621622;7.37972973;28.67108108;6.460540541;11.54405405;21.89054054;21.01432432,0.3334982582;0.1692457495;0.106951477;0.1193745674;0.3941833649;0.1789042372;0.2086745995;0.3956651833;0.1680233058;0.3540332667;0.3952865661;0.4009764034,0.08459459459;0.1808108108;0.2048648649;0.1767567568;0.04675675676;0.177027027;0.1640540541;0.03;0.1872972973;0.1002702703;0.04216216216;0.04243243243,23.94216703;4.31530805;0.4908146776;1.163526998;23.7686717;4.146572491;7.109021131;23.9935297;4.102523209;20.43449091;23.98856908;23.99218863
FreshSky-Safe,2,17,396.7127027027027,27.124324324324323,26.36383783783784,40.0,72.0,59.97207207207207,0.0475675675675675,0.0183108108108108,0.1427252252252252,0.034054054054054,0.8082358299591068,24.0,150.0,0.0606306306306306,673,11100,0.2108890225498377,0.3959174908446312,23.995045977721038,0.4064864864864865,True,True,0.6058267012;0.4606290406;0.8627452041;0.95;0.8920394043;0.9329954481;0.2434414901;0.2237143759;0.7874097494;0.2072792387;0.95;0.5223938409,0.772389876;1.022513998;0.4598691245;0.2139841101;0.4237308779;0.3673358894;1.861711545;2.021113381;0.5472165522;2.179902851;0.241873434;0.9032962107,9.14972973;10.08540541;4.886216216;4.285945946;5.387837838;4.84;19.37864865;25.74162162;6.338378378;27.12432432;4.756486486;9.492702703,0.2081277585;0.2780132654;0.1200631282;0.05766004265;0.1100555064;0.09421669162;0.3904562591;0.3905665047;0.1521853601;0.3959174908;0.05948779052;0.2739184725,0.1286486486;0.1075675676;0.2054054054;0.2251351351;0.197027027;0.2143243243;0.05027027027;0.03621621622;0.1794594595;0.03405405405;0.2091891892;0.1254054054,7.44779752;10.18273797;0.8190838718;0.2139841101;0.6610396572;0.3673358894;23.9896348;23.99504598;2.038764149;23.99222811;0.241873434;15.15162569
FreshSky-Safe,2,18,335.4335135135135,22.334594594594595,20.477527027027023,33.0,56.0,46.9954954954955,0.0293468468468468,0.0071171171171171,0.1545495495495495,0.0389189189189189,0.8409825579019529,21.0,120.0,0.0358558558558558,398,11100,0.1887700873293455,0.3904860692614503,23.994150804906035,0.4064864864864865,True,True,0.95;0.2298402862;0.2514208534;0.95;0.8064515181;0.2889292384;0.86964094;0.95;0.4229897239;0.9113191376;0.93510967;0.8418183031,0.2641897105;1.968390267;1.804941085;0.3377909827;0.5254308787;1.582364629;0.451552802;0.2372894534;1.10910177;0.3983676074;0.3641087485;0.4846132827,4.416216216;22.33459459;18.95810811;4.578918919;6.428918919;15.80324324;5.748108108;4.591081081;11.12432432;4.574324324;5.444324324;6.427027027,0.06854651947;0.3904860693;0.3839158469;0.08481292512;0.1320677614;0.3831888399;0.120454761;0.06066914132;0.3180424265;0.09937656802;0.0946682746;0.1290119145,0.2172972973;0.03891891892;0.04972972973;0.2127027027;0.1789189189;0.06324324324;0.1883783784;0.2118918919;0.09783783784;0.2048648649;0.2013513514;0.1894594595,0.2641897105;23.9941508;23.97810691;0.3377909827;1.278016151;23.8957773;1.121739228;0.2372894534;23.76442923;0.3983676074;0.3641087485;2.092265654
FreshSky-Safe,2,19,510.1894594594594,28.22756756756757,25.81158108108108,41.0,71.0,59.52612612612613,0.0513063063063063,0.0161711711711711,0.0980405405405405,0.0313513513513513,0.8082877545013629,35.0,176.0,0.057027027027027,633,11100,0.2917721265584922,0.3962815684459906,23.99874953319805,0.4064864864864865,True,True,0.8339118425;0.4218873338;0.3658373363;0.3670076204;0.481511622;0.1930715746;0.2120595117;0.3057773787;0.5446939528;0.4653449839;0.3623629999;0.8770434254,0.4938172966;1.111838862;1.270411673;1.266646367;0.9794527448;2.342239302;2.1308523;1.500722279;0.8655191693;1.012509865;1.281724896;0.4425090154,5.929189189;12.75;14.78783784;11.7772973;11.06783784;23.83486486;28.22756757;14.43702703;9.605405405;10.18675676;14.27351351;5.538108108,0.1283924971;0.2875756192;0.3333972255;0.3560303303;0.2599520528;0.3962815684;0.3870088501;0.3690965605;0.2526380278;0.2897967424;0.3374054185;0.103690626,0.1843243243;0.0872972973;0.07486486486;0.09054054054;0.1032432432;0.03648648649;0.03135135135;0.06513513514;0.1267567568;0.1137837838;0.07405405405;0.1886486486,1.150538373;17.45642653;23.90857739;23.93274466;13.86577137;23.99874953;23.99182553;23.99606308;12.03797923;14.0253354;23.81519666;0.5275270463
FreshSky-Safe,4,0,380.2118918918919,19.73675675675676,19.48331081081081,34.0,57.0,47.62117117117117,0.0312387387387387,0.0073873873873873,0.1428828828828828,0.0464864864864864,0.8276516506912268,26.0,105.0,0.0436036036036036,484,11100,0.2179970017746374,0.3993241774701789,23.99998220044627,0.4064864864864865,True,True,0.95;0.2315765095;0.95;0.8081176242;0.6281327393;0.795200025;0.3394136806;0.9476946562;0.5005847781;0.95;0.23436609;0.2528380647,0.3369544871;1.95400716;0.2191119648;0.5235225351;0.7414402559;0.5383055036;1.361973486;0.3438720469;0.9427001774;0.2738400263;1.931388168;1.795260579,4.786216216;19.73675676;5.251891892;6.178108108;8.887837838;6.445675676;13.51513514;5.397567568;10.98513514;4.716756757;19.27594595;17.05864865,0.08514930958;0.391857652;0.05744286644;0.1380967552;0.2055993791;0.1501435891;0.3828249799;0.08438805907;0.2647204012;0.06335326013;0.3930635921;0.3993241775,0.2118918919;0.04648648649;0.2083783784;0.1943243243;0.1491891892;0.1897297297;0.08405405405;0.202972973;0.1164864865;0.2048648649;0.04756756757;0.05864864865,0.3369544871;23.9916825;0.2191119648;1.141135211;5.287364863;2.212888058;23.85078037;0.3438720469;13.05290479;0.2738400263;23.99858589;23.9999822
